city,country,pub_location,PlaceID,Latitudes,Longitudes
Kingston,Jamaica,"Kingston, Jamaica",kingston_jamaica,18.017589,-76.80273
Barcelona,Spain,"Barcelona, Spain",barcelona_spain,41.382894,2.177432
London,England,"London, England",london_england,51.515618,-0.091998
Chichester,West Sussex,"Chichester, West Sussex, England",chichester_west_sussex_england,50.836486,-0.779172
Richmond,London,"Richmond, Londonland",richmond_londonland,37.538509,-77.43428
Oxford,England,"Oxford, England",oxford_england,51.773175,-1.264027
Valencia,Spain,"Valencia, Spain",valencia_spain,39.469707,-0.376335
Paris,France,"Paris, France",paris_france,48.85658,2.35183
Moncton,Canada,"Moncton, Canada",moncton_canada,46.097995,-64.80011
"Amherst, MA",United States,"Amherst, MA, United States",amherst_ma_united_states,42.368566,-72.505714
"Washington, DC",United States,"Washington, DC, United States",washington_dc_united_states,38.895037,-77.036543
Buenos Aires,Argentina,"Buenos Aires, Argentina",buenos_aires_argentina,-34.59972,-58.38194
Scarborough,Canada,"Scarborough, Canada",scarborough_canada,43.7729,-79.2576
Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic",santo_domingo_dominican_republic,18.49333,-69.86667
Brighton,England,"Brighton, England",brighton_england,50.8220576,-0.140343
"Brooklyn, NY",United States,"Brooklyn, NY, United States",brooklyn_ny_united_states,40.652601,-73.949721
Washington,United States,"Washington, United States",washington_united_states,48.0250054,-120.09429
Praha,Czech Republic,"Praha, Czech Republic",praha_czech_republic,50.087465,14.421253
Trafalgar,Dominica,"Trafalgar, Dominica",trafalgar_dominica,15.323694,-61.346793
Port-au-Prince,Haiti,"Port-au-Prince, Haiti",port_au_prince_haiti,18.5473,-72.3396
Pompano Beach,United States,"Pompano Beach, United States",pompano_beach_united_states,26.23786,-80.124767
Chapel Hill,United States,"Chapel Hill, United States",chapel_hill_united_states,35.913154,-79.05578
Toronto,Canada,"Toronto, Canada",toronto_canada,43.653482,-79.383935
Wyoming,United States,"Wyoming, United States",wyoming_united_states,43.5444589,-107.53986
Madrid,Spain,"Madrid, Spain",madrid_spain,40.416705,-3.703583
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States",new_brunswick_nj_united_states,40.486217,-74.451817
"Bloomington, IN",United States,"Bloomington, IN, United States",bloomington_in_united_states,39.16704,-86.534288
Bridgetown,Barbados,"Bridgetown, Barbados",bridgetown_barbados,13.09611,-59.60833
St. Michael,Barbados,"St. Michael, Barbados",st._michael_barbados,13.11667,-59.6
Leeds,England,"Leeds, England",leeds_england,53.797419,-1.543794
Windsor,Canada,"Windsor, Canada",windsor_canada,42.317099,-83.035343
St. Philip,Barbados,"St. Philip, Barbados",st._philip_barbados,13.11667,-59.46667
Glasgow,Scotland,"Glasgow, Scotland",glasgow_scotland,55.860983,-4.248879
Annandale-on-Hudson,United States,"Annandale-on-Hudson, United States",annandale_on_hudson_united_states,42.01287,-73.90819
North Devon,England,"North Devon, England",north_devon_england,51.104182,-3.952825
Port of Spain,Trinidad,"Port of Spain, Trinidad",port_of_spain_trinidad,10.66667,-61.51667
Port-au- Prince,Haiti,"Port-au- Prince, Haiti",port_au__prince_haiti,18.5473,-72.3396
"Woodstock, NY",United States,"Woodstock, NY, United States",woodstock_ny_united_states,40.741801,-74.007492
"New York, NY",United States,"New York, NY, United States",new_york_ny_united_states,40.7687223,-73.982661
Tokyo,Japan,"Tokyo, Japan",tokyo_japan,35.6652065,139.726379
"Miami, FL",United States,"Miami, FL, United States",miami_fl_united_states,25.7651352,-80.185373
Westminster,England,"Westminster, England",westminster_england,51.5189,-0.1962
Berlin,Germany,"Berlin, Germany",berlin_germany,52.51667,13.38333
NA,NA,"NA , NA",na__na,14.65,120.95
Mexico City,Mexico,"Mexico City, Mexico",mexico_city_mexico,19.41944,-99.14556
Caracas,Venezuala,"Caracas, Venezuala",caracas_venezuala,10.5,-66.93333
Málaga,Spain,"Málaga, Spain",málaga_spain,36.721303,-4.421637
Saint-Nazaire,France,"Saint-Nazaire, France",saint_nazaire_france,47.273957,-2.232074
Darmstadt,Germany,"Darmstadt, Germany",darmstadt_germany,49.872775,8.651177
Frankfurt,Germany,"Frankfurt, Germany",frankfurt_germany,50.110644,8.682092
Beograd,Serbia,"Beograd, Serbia",beograd_serbia,44.817813,20.456897
Bucuresti,Romania,"Bucuresti, Romania",bucuresti_romania,44.436141,26.10272
Helsinki,Finland,"Helsinki, Finland",helsinki_finland,60.167488,24.942747
Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil",rio_de_janeiro_brazil,-22.911,-43.2094
Castries,St. Lucia,"Castries, St. Lucia",castries_st._lucia,14.01667,-60.98333
Havana,Cuba,"Havana, Cuba",havana_cuba,23.101612,-82.321534
Nürnberg,Germany,"Nürnberg, Germany",nürnberg_germany,49.453872,11.077298
Homebush West,Australia,"Homebush West, Australia",homebush_west_australia,-33.868,151.071
Ontario,Canada,"Ontario, Canada",ontario_canada,49.4515637,-84.253981
"Chicago, IL",United States,"Chicago, IL, United States",chicago_il_united_states,41.875562,-87.624421
"Tulsa, OK",United States,"Tulsa, OK, United States",tulsa_ok_united_states,36.155681,-95.992911
"Boston, MA",United States,"Boston, MA, United States",boston_ma_united_states,42.360253,-71.058291
"Salt Lake City, UT",United States,"Salt Lake City, UT, United States",salt_lake_city_ut_united_states,40.75962,-111.8868
Berkeley,United States,"Berkeley, United States",berkeley_united_states,37.870839,-122.27286
Cambridge,England,"Cambridge, England",cambridge_england,52.216192,0.207034
Mona,Jamaica,"Mona, Jamaica",mona_jamaica,44.47547,-68.78295
Albuquerque,United States,"Albuquerque, United States",albuquerque_united_states,35.084103,-106.65099
Amherst,United States,"Amherst, United States",amherst_united_states,42.978392,-78.799762
Hanover,United States,"Hanover, United States",hanover_united_states,39.192885,-76.724137
San Juan,Puerto Rico,"San Juan, Puerto Rico",san_juan_puerto_rico,18.381676,-66.052529
Michigan,United States,"Michigan, United States",michigan_united_states,44.9337459,-84.52524
St. Augustine,Trinidad & Tobago,"St. Augustine, Trinidad & Tobago",st._augustine_trinidad_&_tobago,10.638541,-61.402303
Tulsa,United States,"Tulsa, United States",tulsa_united_states,36.155681,-95.992911
Bloomington,United States,"Bloomington, United States",bloomington_united_states,39.16704,-86.534288
Milan,Italy,"Milan, Italy",milan_italy,45.4668,9.1905
Basseterre,St. Kitts,"Basseterre, St. Kitts",basseterre_st._kitts,17.29833,-62.73417
Geneva,Switzerland,"Geneva, Switzerland",geneva_switzerland,46.2,6.15
Caracas,Venezuala,"Caracas, Venezuela",caracas_venezuela,10.5,-66.93333
Havana,Spain,"Havana, Spain",havana_spain,38.376736,-0.422112
Seville,Spain,"Seville, Spain",seville_spain,37.38863,-5.99534
Vedado,Cuba,"Vedado, Cuba",vedado_cuba,-0.47,100.54
Rosario,Argentina,"Rosario, Argentina",rosario_argentina,-32.95,-60.65
Bogotá,Columbia,"Bogotá, Columbia",bogotá_columbia,4.59889,-74.08083
Alexandria,Egypt,"Alexandria, Egypt",alexandria_egypt,31.2,29.91667
"Alexandria, VA",United States,"Alexandria, VA, United States",alexandria_va_united_states,38.80511,-77.047023
Sana Cruz,Trinidad & Tobago,"Sana Cruz, Trinidad & Tobago",sana_cruz_trinidad_&_tobago,10.714259,-61.476493
"Minneapolis, MN",United States,"Minneapolis, MN, United States",minneapolis_mn_united_states,44.9773,-93.265469
"Madison, WI",United States,"Madison, WI, United States",madison_wi_united_states,43.074761,-89.383761
Buenos Aires,Caracas,"Buenos Aires, Caracas",buenos_aires_caracas,10.488503,-66.912435
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States",ann_arbor_mi_united_states,42.268157,-83.731229
Mysore,India,"Mysore, India",mysore_india,12.305183,76.655361
"Middletown, CT",United States,"Middletown, CT, United States",middletown_ct_united_states,41.562318,-72.650906
"Providence, RI",United States,"Providence, RI, United States",providence_ri_united_states,41.823989,-71.412834
Philipsburg,St. Martin,"Philipsburg, St. Martin",philipsburg_st._martin,46.195674,-1.356003
Cave Hill,Barbados,"Cave Hill , Barbados",cave_hill__barbados,13.334598,-59.613294
Ann Arbor,United States,"Ann Arbor, United States",ann_arbor_united_states,42.268157,-83.731229
Baltimore,United States,"Baltimore, United States",baltimore_united_states,39.290882,-76.610759
Norman,United States,"Norman, United States",norman_united_states,35.222572,-97.439482
Yorkshire,England,"Yorkshire, England",yorkshire_england,51.5133883,-0.0379756
Hudson,United States,"Hudson, United States",hudson_united_states,28.361771,-82.693285
Bremen,Germany,"Bremen, Germany",bremen_germany,53.07582,8.807165
Auckland,New Zealand,"Auckland, New Zealand",auckland_new_zealand,-36.85,174.78333
Harlow,England,"Harlow, England",harlow_england,51.767619,0.097489
Ealing,England,"Ealing, England",ealing_england,51.5139,-0.3031
Leuven,Belgium,"Leuven, Belgium",leuven_belgium,50.879202,4.701167
Plounéour-Ménez,France,"Plounéour-Ménez, France",plounéour_ménez_france,48.439236,-3.893769
Montreal,Canada,"Montreal, Canada",montreal_canada,45.497216,-73.610364
Cromer,England,"Cromer, England",cromer_england,52.931137,1.301276
Staten Island,United States,"Staten Island, United States",staten_island_united_states,40.583456,-74.149605
Springfield,United States,"Springfield, United States",springfield_united_states,37.216678,-93.292037
Lanham,United States,"Lanham, United States",lanham_united_states,38.967055,-76.861917
St. Clair,Trinidad & Tobago,"St. Clair, Trinidad & Tobago",st._clair_trinidad_&_tobago,10.668462,-61.522605
Leicester,England,"Leicester, England",leicester_england,52.583343,-1.1626783
Montréal,Canada,"Montréal, Canada",montréal_canada,45.497216,-73.610364
Kourou,French Guiana,"Kourou, French Guiana",kourou_french_guiana,5.15833,-52.64278
Montevideo,Uraguay,"Montevideo, Uruguay",montevideo_uruguay,-34.86694,-56.16667
Bogota,Colombia,"Bogota, Colombia",bogota_colombia,4.59889,-74.08083
NA,Spain,"NA, Spain",na_spain,35.1006811,74.8012123
São Paulo,Brazil,"São Paulo, Brazil",são_paulo_brazil,-23.5507,-46.6334
Esplugues de Llobregat,Spain,"Esplugues de Llobregat, Spain",esplugues_de_llobregat_spain,41.37768,2.089972
Zurich,Switzerland,"Zurich, Switzerland",zurich_switzerland,47.37861,8.54
Brussels,England,"Brussels, England",brussels_england,51.9256471,1.2642159
Georgetown,Guyana,"Georgetown, Guyana",georgetown_guyana,6.78333,-58.16667
Jannali,Australia,"Jannali, Australia",jannali_australia,-34.0169,151.065
Lafayette,United States,"Lafayette, United States",lafayette_united_states,30.22409,-92.019843
Spanish Town,Jamaica,"Spanish Town, Jamaica",spanish_town_jamaica,17.970324,-76.988861
Manchester,England,"Manchester, England",manchester_england,53.478265,-2.248272
Missoula,United States,"Missoula, United States",missoula_united_states,46.870105,-113.99527
Copenhagen,Denmark,"Copenhagen, Denmark",copenhagen_denmark,55.686724,12.570072
Bukarest,Romania,"Bukarest, Romania",bukarest_romania,44.436141,26.10272
"Springfield, MA",United States,"Springfield, MA, United States",springfield_ma_united_states,42.101876,-72.588673
"San Francisco, CA",United States,"San Francisco, CA, United States",san_francisco_ca_united_states,37.779026,-122.41991
Palermo,Italy,"Palermo, Italy",palermo_italy,38.111227,13.352443
Poitiers,France,"Poitiers, France",poitiers_france,46.58026,0.340196
Tres Cantos,Spain,"Tres Cantos, Spain",tres_cantos_spain,40.606583,-3.706533
Lutz,United States,"Lutz, United States",lutz_united_states,28.151124,-82.461483
Tafalla,Spain,"Tafalla, Spain",tafalla_spain,42.527828,-1.674482
Oxford,New Zealand,"Oxford, New Zealand",oxford_new_zealand,-43.297961,172.189728
NA,NA,"NA, NA",na_na,14.65,120.95
"Chapel Hill, NC",United States,"Chapel Hill, NC, United States",chapel_hill_nc_united_states,35.913154,-79.05578
Matoury,French Guiana,"Matoury, French Guiana",matoury_french_guiana,4.85056,-52.33111
"Oakland, CA",United States,"Oakland, CA, United States",oakland_ca_united_states,37.804456,-122.27136
Fort-de-France,Martinique,"Fort-de-France, Martinique",fort_de_france_martinique,14.60722,-61.06944
"Charlottesville, VA",United States,"Charlottesville, VA, United States",charlottesville_va_united_states,38.029306,-78.476678
Munich,Germany,"Munich, Germany",munich_germany,48.137108,11.575382
"Stanford, CA",United States,"Stanford, CA, United States",stanford_ca_united_states,37.427467,-122.17025
"Pasadena, CA",United States,"Pasadena, CA, United States",pasadena_ca_united_states,34.147645,-118.14448
"Durham, NC",England,"Durham, NC, England",durham_nc_england,54.788141,-1.54242
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago",port_of_spain_trinidad_&_tobago,10.660319,-61.511573
"Lincoln, NE",United States,"Lincoln, NE, United States",lincoln_ne_united_states,40.808886,-96.707775
Waterloo,Canada,"Waterloo, Canada",waterloo_canada,43.46527,-80.522296
"Urbana, IL",United States,"Urbana, IL, United States",urbana_il_united_states,40.111717,-88.207301
Leeds,United States,"Leeds, United States",leeds_united_states,33.543921,-86.542755
"Somerville, MA",United States,"Somerville, MA, United States",somerville_ma_united_states,42.387597,-71.099497
Vigo,Spain,"Vigo, Spain",vigo_spain,42.23766,-8.724721
"Tallahassee, FL",United States,"Tallahassee, FL, United States",tallahassee_fl_united_states,30.438083,-84.280933
Carlton,Australia,"Carlton, Australia",carlton_australia,-37.8001,144.967
Markham,Canada,"Markham, Canada",markham_canada,43.856371,-79.337682
Don Mills,Canada,"Don Mills, Canada",don_mills_canada,43.7372,-79.3433
Dublin,Ireland,"Dublin, Ireland",dublin_ireland,53.349765,-6.260273
"New York, NY",United States,"New York, NY , United States",new_york_ny__united_states,40.7687223,-73.982661
Ashland,United States,"Ashland, United States",ashland_united_states,38.478414,-82.637939
Wildey,Barbados,"Wildey, Barbados",wildey_barbados,-19.5248,-40.5824
Pictou,Canada,"Pictou, Canada",pictou_canada,45.67772,-62.708221
Pointe-À-Pitre,Guadeloupe,"Pointe-À-Pitre, Guadeloupe",pointe_à_pitre_guadeloupe,16.24111,-61.53306
La Vergne,United States,"La Vergne, United States",la_vergne_united_states,36.015618,-86.581939
Charlottesville,United States,"Charlottesville, United States",charlottesville_united_states,38.029306,-78.476678
Eastbourne,England,"Eastbourne, England",eastbourne_england,50.78207,0.285661
Haarlem,Netherlands,"Haarlem, Netherlands",haarlem_netherlands,52.388532,4.638805
Amsterdam,Netherlands,"Amsterdam, Netherlands",amsterdam_netherlands,52.37276,4.893604
Manhattan,United States,"Manhattan, United States",manhattan_united_states,40.789624,-73.959894
Basse-Terre,Guadeloupe,"Basse-Terre, Guadeloupe",basse_terre_guadeloupe,15.99694,-61.73278
"Boulder, CO",United States,"Boulder, CO, United States",boulder_co_united_states,40.014986,-105.27055
Köln,Germany,"Köln, Germany",köln_germany,50.938361,6.959974
Berlin Verl,Germany,"Berlin Verl, Germany",berlin_verl_germany,52.5732561,13.5010169
Roma,Italy,"Roma, Italy",roma_italy,41.89332,12.482932
Oslo,Norway,"Oslo, Norway",oslo_norway,59.91111,10.75278
München,Germany,"München, Germany",münchen_germany,48.137108,11.575382
Murska Sobota,Slovenia,"Murska Sobota, Slovenia",murska_sobota_slovenia,46.658,16.1651
Helsingissä Hki,Finland,"Helsingissä Hki, Finland",helsingissä_hki_finland,48.856646,-93.91535
Penhook,United States,"Penhook, United States",penhook_united_states,36.982366,-79.628085
Messina,Italy,"Messina, Italy",messina_italy,38.193757,15.554208
"Seattle, WA",United States,"Seattle, WA, United States",seattle_wa_united_states,47.603832,-122.33006
Sebastopol,United States,"Sebastopol, United States",sebastopol_united_states,38.402113,-122.82427
Leiden,Netherlands,"Leiden, The Netherlands",leiden_the_netherlands,52.159475,4.490884
Speightstown,Barbados,"Speightstown, Barbados",speightstown_barbados,13.25444,-59.64083
Chicago,United States,"Chicago, United States",chicago_united_states,41.875562,-87.624421
Delaware,United States,"Delaware, United States",delaware_united_states,38.9978782,-75.505563
Amsterdam,Neverlands,"Amsterdam, Neverlands",amsterdam_neverlands,52.363911,4.908059
Düsseldorf,Germany,"Düsseldorf, Germany",düsseldorf_germany,51.225402,6.776314
Casale Monferrato,Italy,"Casale Monferrato, Italy",casale_monferrato_italy,45.136266,8.449813
Holon,Israel,"Holon, Israel",holon_israel,32.01667,34.76667
Budapest,Hungary,"Budapest, Hungary",budapest_hungary,47.49833,19.04083
Stockholm,Sweden,"Stockholm, Sweden",stockholm_sweden,59.325117,18.071093
Jyväskylä,Finland,"Jyväskylä, Finland",jyväskylä_finland,62.2393,25.745951
Tel Aviv,Israel,"Tel Aviv, Israel",tel_aviv_israel,32.088545,34.78254
Newark,United States,"Newark, United States",newark_united_states,40.735657,-74.172367
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago",diego_martin_trinidad_&_tobago,10.687866,-61.615387
"Portland, OR",United States,"Portland, OR, United States",portland_or_united_states,45.520247,-122.6742
Portland,United States,"Portland, United States",portland_united_states,45.520247,-122.6742
Lexington,United States,"Lexington, United States",lexington_united_states,38.046407,-84.497039
Schleswig-Holstein,Germany,"Schleswig-Holstein, Germany",schleswig_holstein_germany,54.47004,9.51416
"Los Angeles, CA",United States,"Los Angeles, CA, United States",los_angeles_ca_united_states,34.053691,-118.24277
Habana,Cuba,"Habana, Cuba",habana_cuba,35.059289,-78.973537
Simsbury,United States,"Simsbury, United States",simsbury_united_states,41.875915,-72.801221
Fort-de France,Martinique,"Fort-de France, Marinique",fort_de_france_marinique,14.60722,-61.06944
Montréal,Canada,"Montréal, Canada",montréal_canada,45.497216,-73.610364
Nendeln,Liechtenstein,"Nendeln, Liechtenstein",nendeln_liechtenstein,48.222271,16.3598855
Montevideo,Uraguay,"Montevideo, Uraguay",montevideo_uraguay,-34.888455,-56.074116
Cambridge,United States,"Cambridge, United States",cambridge_united_states,42.3751,-71.105616
Le Lamentin,Martinique,"Le Lamentin, Martinique",le_lamentin_martinique,14.61528,-61.00194
Glasglow,Scotland,"Glasglow, Scotland",glasglow_scotland,55.860983,-4.248879
Peterborough,Canada,"Peterborough, Canada",peterborough_canada,44.304801,-78.31995
Lewiston,United States,"Lewiston, United States",lewiston_united_states,44.100351,-70.214776
Roseau,Dominica,"Roseau, Dominica",roseau_dominica,15.2984622,-61.387505
"Long Grove, IL",United States,"Long Grove, IL, United States",long_grove_il_united_states,42.178358,-87.997852
Halifax,Canada,"Halifax, Canada",halifax_canada,44.63895,-63.566013
Hamilton,Bermuda,"Hamilton, Bermuda",hamilton_bermuda,32.301136,-64.793053
Ohio,United States,"Ohio, United States",ohio_united_states,40.4174201,-82.711449
Cardiff,Wales,"Cardiff, Wales",cardiff_wales,51.481655,-3.179193
Scotts Valley,United States,"Scotts Valley, United States",scotts_valley_united_states,37.05106,-122.01468
"Atlanta, GA",United States,"Atlanta, GA, United States",atlanta_ga_united_states,33.748992,-84.390264
Burton,United States,"Burton, United States",burton_united_states,42.989733,-83.633503
Santiago,Cuba,"Santiago, Cuba",santiago_cuba,-33.440693,-70.646055
Matanzas,Cuba,"Matanzas, Cuba",matanzas_cuba,23.0511,-81.5753
Honfleur,Frane,"Honfleur, Frane",honfleur_frane,49.419722,0.233889
Aarhus,Denmark,"Aarhus, Denmark",aarhus_denmark,56.149628,10.213405
Leatherhead,England,"Leatherhead, England",leatherhead_england,51.295504,-0.329369
Liverpool,England,"Liverpool, England",liverpool_england,53.407199,-2.99168
"Vancouver, BC",Canada,"Vancouver, BC, Canada",vancouver_bc_canada,49.279862,-123.11684
La Roque-d'Anthéron,France,"La Roque-d'Anthéron, France",la_roque_d'anthéron_france,43.715096,5.312221
"Cleveland, OH",United States,"Cleveland, OH, United States",cleveland_oh_united_states,41.505161,-81.693445
Rijswijk,Netherlands,"Rijswijk, Netherlands",rijswijk_netherlands,52.044627,4.318821
McHenry,United States,"McHenry, United States",mchenry_united_states,42.343143,-88.267488
Bethesda,United States,"Bethesda, United States",bethesda_united_states,38.984827,-77.094646
"Greenville, SC",United States,"Greenville, SC, United States",greenville_sc_united_states,34.851354,-82.398488
Matoury,Guyana,"Matoury, Guyana",matoury_guyana,4.85056,-52.33111
"Holiday, FL",United States,"Holiday, FL, United States",holiday_fl_united_states,28.18779,-82.739545
Pinar del Río,Cuba,"Pinar del Río, Cuba",pinar_del_río_cuba,23.141907,-82.374474
